vehicle_id,company,model,compression_ratio,category,recommended_fuel_ron,fuel_blend_octane,year_of_launch,bs_norm_at_launch,estimated_mileage_on_blend_kmpl,default_gasoline_pct,default_ethanol_pct,default_torque_nm,default_speed_rpm,operating_default_note
Bajaj | Pulsar 220F,Bajaj,Pulsar 220F,9.5,Mid-range,Regular (91),E5 (91 RON),2007,BS-II,37.43,95.0,5.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
Honda | Shine 125,Honda,Shine 125,10.0,Commuter,Regular (91),E5 (91 RON),2006,BS-II,64.03,95.0,5.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
Hero | HF Deluxe,Hero,HF Deluxe,9.9,Commuter,Regular (91),E5 (91 RON),2005,BS-II,64.03,95.0,5.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
TVS | Apache RTR 160,TVS,Apache RTR 160,10.0,Mid-range,Regular (91),E5 (91 RON),2005,BS-II,45.31,95.0,5.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
Bajaj | CT 100,Bajaj,CT 100,9.5,Commuter,Regular (91),E5 (91 RON),2004,BS-II,73.88,95.0,5.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
TVS | Scooty Pep+,TVS,Scooty Pep+,9.2,Scooter,Regular (91),E5 (91 RON),2003,BS-II,64.03,95.0,5.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
Honda | Dio,Honda,Dio,9.5,Scooter,Regular (91),E5 (91 RON),2002,BS-II,47.28,95.0,5.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
Bajaj | Pulsar 150,Bajaj,Pulsar 150,9.5,Mid-range,Regular (91),E5 (91 RON),2001,BS-II,46.3,95.0,5.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
Honda | Activa 6G (110),Honda,Activa 6G (110),10.0,Scooter,Regular (91),E5 (91 RON),2001,BS-II,49.25,95.0,5.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
Hero | Splendor Plus,Hero,Splendor Plus,9.9,Commuter,Regular (91),E0 → E5 (87–91 RON),1994,BS-I,E0: 70 | E5: 68.95,95.0,5.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
Royal Enfield | Bullet 500 (Old Gen),Royal Enfield,Bullet 500 (Old Gen),8.5,Premium,Regular (91),E0 → E5 (87–91 RON),1990,No BS,E0: 30 | E5: 29.55,95.0,5.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
TVS | XL100 (Moped),TVS,XL100 (Moped),9.2,Moped,Regular (91),E0 → E5 (87–91 RON),1980,No BS,E0: 67 | E5: 66.0,95.0,5.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
Bajaj | Chetak (Petrol),Bajaj,Chetak (Petrol),7.4,Scooter,Regular (91),E0 (87–91 RON),1972,No BS,40,100.0,0.0,5.51,2500.0,Dataset starting point - verify the intended engine test condition
